cluster,label,count,pro_occidente,pro_iran_eje,neutros,gdelt
4,russia · as · from · by · will · israeli,451,110,225,116,0
2,blog · live blog · live · class · field · update,187,0,0,187,0
6,com · www timesofisrael · timesofisrael com · timesofisrael · post href · post,113,112,1,0,0
3,russian · ministry · russia · foreign · ukraine · minister,94,6,84,4,0
7,trump · dinner · white house · white · house · correspondents,72,41,12,19,0
1,talks · pakistan · araghchi · islamabad · foreign minister · foreign,70,20,25,25,0
5,attacks · mali · army · groups · armed · across,62,27,16,19,0
0,world · first · two · assad · trial · his,45,15,11,19,0
