source,total,avg_score,negativity_pct,positivity_pct
BBC World,59,-0.45308474576271185,45.76271186440678,0.0
Al Jazeera,192,-0.37128645833333335,41.14583333333333,3.125
Times of Israel,127,-0.35678740157480315,42.51968503937008,5.511811023622047
Middle East Eye,194,-0.314201030927835,35.56701030927835,4.123711340206185
Press TV,58,-0.2929310344827586,39.6551724137931,10.344827586206897
France24,149,-0.28727516778523493,37.58389261744966,10.06711409395973
TASS,299,-0.21391304347826087,29.76588628762542,8.361204013377927
Xinhua,20,-0.04995,20.0,15.0
